month,SANTA CRUZ AMA,SAN BERNARDINO VALLEY,SAN RAFAEL,TIGER WASH,VIRGIN RIVER,SHIVWITS PLATEAU,KANAB PLATEAU,LITTLE COLORADO RIVER PLATEAU,PARIA,GRAND WASH,COCONINO PLATEAU,HUALAPAI VALLEY INA,MEADVIEW,DETRITAL VALLEY,LAKE MOHAVE,PEACH SPRINGS,VERDE RIVER,BIG SANDY,SACRAMENTO VALLEY,JOSEPH CITY INA,BILL WILLIAMS,PRESCOTT AMA,LAKE HAVASU,AGUA FRIA,UPPER HASSAYAMPA,TONTO CREEK,SALT RIVER,PARKER,BUTLER VALLEY,MCMULLEN VALLEY,PHOENIX AMA,RANEGRAS PLAIN,MORENCI,HARQUAHALA INA,SAFFORD,LOWER GILA,BONITA CREEK,LOWER SAN PEDRO,PINAL AMA,DRIPPING SPRING WASH,GILA BEND,DONNELLY WASH,DUNCAN VALLEY,ARAVAIPA CANYON,YUMA,TUCSON AMA,WILLCOX AMA,SAN SIMON WASH,UPPER SAN PEDRO,WESTERN MEXICAN DRAINAGE,CIENEGA CREEK,DOUGLAS AMA
1,-0.41888031860094366,-0.45666960557944725,-0.5360759600729824,-0.4120471543353554,-0.24359514093699927,-0.31841814792156314,-0.3452165940485229,-0.22087586527432307,-0.1241624254456335,-0.41166439603248933,-0.1800655367947277,-0.14114980290183712,-0.1331077065268685,-0.08955251392363581,-0.11300461482848562,-0.26587546547844393,-0.7664721290671748,-0.6798654256879878,-0.47291517334132976,-0.057401671527271936,-0.6810100497414064,-0.47325966888871496,-0.30084769844710463,-0.8240307281161012,-0.7898243791339868,-1.098540285634594,-1.1367076064466222,-0.24499991907275165,-0.3282923734302316,-0.3634272471018792,-0.4971155195681551,-0.24514746345478963,-0.876974284049339,-0.255451108747719,-0.4597629594476805,-0.2271971548202349,-0.8963251728015738,-0.5596640005724992,-0.30104202951589454,-0.6402229790529478,-0.3500624630402426,-0.582100567189191,-0.4031938796983805,-0.6234727147634512,-0.10113430711630095,-0.4770829966357191,-0.4253166233676836,-0.4637425412416597,-0.31801512992115477,-0.3370829058190576,-0.46299377810666037,-0.24677222703922133
2,-0.27704782353105506,-0.46735225392574603,-0.38447132669400175,-0.34510645974354015,-0.421519481709652,-0.5212161159093703,-0.5093317125577618,-0.2936402200717099,-0.2195514338484437,-0.666912551238438,-0.3713052922682255,-0.4664348397063016,-0.3883565317278984,-0.36513505665308865,-0.4087371981892681,-0.46423020931604714,-0.7601974903445539,-0.541816042673394,-0.48287237080817236,-0.1491072232452633,-0.5838099446586488,-0.5420511506367395,-0.25551433527404127,-0.6742079880614691,-0.7341985568568405,-0.897538938734779,-0.8426157658719781,-0.1922613637973234,-0.25130090763055557,-0.32036769570815227,-0.4894371291642815,-0.22760544185924797,-0.8329683639047204,-0.3715138649127231,-0.47170832395655643,-0.2763357785085293,-0.7412337398905827,-0.4508146441635801,-0.2943917535407348,-0.7085260908420677,-0.36448185311519815,-0.47371258925207216,-0.46524751245280804,-0.5173764582354102,-0.18574818863280768,-0.4111310168591849,-0.49516207032175935,-0.31346817280161926,-0.32431362199790026,-0.20939453686876375,-0.3902664683277607,-0.2629667642189439
3,-0.14527791457892755,-0.07554615816694489,-0.18745318030675037,-0.19220517335850515,-0.20622186663569628,-0.32907345401823007,-0.283176366907478,-0.17959580278934456,0.0037206827002176624,-0.3635465699850563,-0.2647712330190938,-0.23057862583123193,-0.14742352725124394,-0.157234317373033,-0.19815833287432985,-0.3503153492770428,-0.5321234775501121,-0.4873770600597061,-0.3562942605969323,-0.07398250420616771,-0.4271406916517905,-0.3976825806674702,-0.2312041401720179,-0.3753764965052403,-0.43160364250526445,-0.56855110476595,-0.4957848901158531,-0.14126309585134972,-0.22262900816240244,-0.21911429641477542,-0.21629229121952157,-0.14744497091457917,-0.34897790235120246,-0.16208772348293893,-0.20142429360372271,-0.11889789440964779,-0.33919365343994484,-0.2480516510770106,-0.10979027487481212,-0.28211356254653236,-0.1380482558710439,-0.22495641359076612,-0.19716595599728667,-0.29867524136573237,-0.05748204288428525,-0.18792664968188358,-0.2202665901139611,-0.1314618880131102,-0.14938734801547174,-0.07997703589322885,-0.17174472795253518,-0.10339000339297832
4,-0.12436073341196423,-0.10960377872204735,-0.12023164097729942,-0.061182157647286926,-0.16859113451002633,-0.18332041088641837,-0.2034490625997538,-0.11692158345062419,-0.09222081557625926,-0.25977878239497815,-0.12504131401146396,-0.11876853061852118,-0.09564642740114367,-0.07180080027147714,-0.07577242972232456,-0.12528157980961935,-0.2671842845963658,-0.16176365536128715,-0.1301668352752027,-0.04158588224018617,-0.15299282353735177,-0.13070832201475405,-0.06362402316765267,-0.2016089180599903,-0.22110647874378017,-0.33699849971981954,-0.30856526012347496,-0.025190812919864452,-0.03840111101343426,-0.06022915820731196,-0.10519248588685272,-0.024766057353451255,-0.25277908056626597,-0.054399442014419236,-0.13701747910385934,-0.03877128410960036,-0.2453476879759967,-0.1497315597801977,-0.05328676955031702,-0.18182385128038844,-0.05846515001641362,-0.15279132460732528,-0.1441312687900875,-0.1797977844077819,-0.01349167852435887,-0.1317335553878983,-0.1468402453394879,-0.07531382809015502,-0.09349019788041016,-0.05058899403973341,-0.12275624704222204,-0.04194122201248006
5,-0.056323205811256064,-0.0820475026042356,-0.09150751282022632,-0.07984156013993338,-0.08461480354825276,-0.16034453895004094,-0.1901949234831962,-0.15862161226292631,-0.08194198907758979,-0.10204565654814826,-0.17538325577332753,-0.11353570693201691,-0.11370250964429054,-0.08339678568568933,-0.050620556710307046,-0.19176256920532958,-0.2738363753056985,-0.18296615414745854,-0.08475201066549597,-0.16809414040352416,-0.14776420428735462,-0.22941666874217437,-0.04242929027957956,-0.18442824586150983,-0.17103492524593536,-0.2598262844229236,-0.267644429642079,-0.04140250224072376,-0.062408345546313075,-0.07701711796177314,-0.06577499583634984,-0.05156861724520705,-0.2723066352816054,-0.06151294074286593,-0.11089693591492139,-0.03569206703452473,-0.17700421423382867,-0.07194774665767062,-0.05085803451094551,-0.07919386905188007,-0.04311581234671708,-0.075669210930626,-0.12286156274571194,-0.0971448198636485,-0.022392246863878657,-0.04891037326340908,-0.11659962322870952,-0.0407968985746774,-0.07145680400187851,-0.02445259273427944,-0.07840340584665023,-0.07482067860795404
6,0.2569254105686153,0.2787786307235344,0.3571431741080883,0.0807674637934877,0.04209216520607294,0.05264132537646473,0.03298670462855238,0.008652650242932944,0.033593847621469865,0.044100598381357964,0.049449492599640106,0.04932318830840325,0.03364057694847865,0.05329016406327433,0.05751858914512447,0.05444570169405663,0.02994781222701165,0.07218884283987471,0.06108076701639972,-0.022014591760803174,0.06801477108639553,0.031094923080829017,0.05305489867044107,0.05891511936304845,0.06461579079316852,0.012503293433508348,0.026991135306203583,0.03964931263975769,0.045424782364304236,0.06115183043792181,0.08715215352335043,0.10993880992728329,0.08840278787107392,0.15268655785057517,0.1112368632998966,0.05094863255470672,0.06343549101422957,0.10444478605930292,0.07580903803213192,0.0164787683545239,0.06676113213930655,0.19268205544080266,0.043734776065012596,0.0504713412395611,0.007098350230261201,0.15524046705279584,0.18606466229912025,0.05244997195611012,0.30494920918097645,0.03246080639402993,0.3275258921543093,0.3336022281297956
7,0.1921742129035366,0.47884796080879743,0.23084604146409862,0.25823176792816366,0.18090169663934924,0.21309096685065468,0.32994904508860984,0.3600365115317213,0.16158749944439796,0.13974513028192148,0.24509734772125846,0.1420735655361488,0.09743267613144233,0.1423523181863346,0.12162044142925467,0.0640284509084813,0.14074895671296025,0.12017327252519751,0.13472727439618648,0.5810164369165725,0.20446854065726153,0.15994371564679677,0.29910637864475953,0.30319473470737857,0.102306853022742,0.07722190350338032,0.3831438554341461,0.1866023021818074,0.4094652040121858,0.33964436233686707,0.21061551611335338,0.2604679612613285,0.6435787369409136,0.2533362779204188,0.22054860110288496,0.1528858786859994,0.4006962456463543,0.009400790063156438,0.1576297817947418,0.145425682989954,0.17300769588931073,0.14892739382241427,0.397534267055283,0.11998150113912302,0.10461886228861283,0.16227663421797361,0.2605589061600759,0.07754658304972153,0.258823147463134,0.033714106689571456,0.13910261257837378,0.38007292290344535
8,-0.1431585743751405,-0.6777691946341179,-0.6998423271898835,-0.3850571710924342,-0.6819846069577767,-0.9625387701734546,-0.7036320909928533,-0.35416919711072886,-0.47904214881064566,-0.6412347958590787,-0.8481749428435722,-0.9663723401690761,-0.7250740524945303,-0.37288761890033295,-0.42754118656463036,-1.2152049611019062,-1.5030666944941369,-1.0672044068175142,-0.7724466977905913,-0.15277692711037885,-0.992200841289089,-1.3904034113431694,-0.2911963353519074,-1.3738825003699922,-1.3722740469616024,-1.651891440332596,-0.8485249013701952,-0.11928772811152333,-0.3337552752469349,-0.46954761626787084,-0.4185981421318443,-0.1293207931919894,-0.9375245775565454,-0.06880592368474638,-0.5827405048813679,0.01346137494958403,-0.8845694857331432,-0.6084689721972639,-0.17642209238560044,-0.6415826274247723,-0.11510519188276415,-0.6452241504346765,-0.5820647471684584,-0.496465666272461,0.07216228914235873,-0.16497705749571226,-0.6982442052623912,-0.01697653514210849,-0.4492867327485206,-0.09673484687959594,-0.39581328871116445,-0.47659727957935394
9,-0.679347582817969,-1.322583884484565,-0.8345593364830143,-0.4512704981556199,-0.12517939120252475,0.026267171196458473,0.10510938787185387,-0.0483353748419417,0.06990176429293896,-0.2047741630300388,0.05496031325758422,-0.07042122999680915,-0.10407097250343739,-0.17427993647175047,-0.2734278192606944,0.04277276608381625,-0.35285440685347697,-0.2301181823120286,-0.19626436360784355,-0.22607685902210234,-0.4443553012250058,-0.18090790802077553,-0.34805653644469714,-0.45555132821049227,-0.2514699734963146,-0.775677155238091,-0.5970161446815849,-0.3894760097905661,-0.5746192438435854,-0.4779077892841907,-0.30260781249143326,-0.5337367118057988,-0.8364318147212692,-0.399978229119075,-0.7205475540833369,-0.35784201630008666,-0.5910246583246901,-0.4505600328308916,-0.28870072224214366,-0.5102160527395948,-0.17676590366025602,-0.41503916296607923,-0.7755792509340956,-0.46268294230803886,-0.4635420317429575,-0.506145495371393,-0.8395939092676268,-0.33113860322425864,-0.7734726279531513,-0.3930696109313785,-0.6514197130388503,-1.0738835793070116
10,-0.011884296789389473,-0.09861426980329473,0.0937874000802919,0.032297100032895,0.07846742549752511,0.05176516059378634,-0.0028901547097112987,-0.07143482307375802,0.028183230570360138,0.0006436353464172108,0.05456690177901936,0.013421753568345917,-0.03803034006747782,-0.003411582852597285,0.018894540623936786,0.051482269301949365,-0.09438706272234076,0.058106745979920146,0.012301728724489687,-0.02025035682809297,0.02599557749867593,0.004051426665966292,0.022277831855346868,-0.1751969093230485,-0.09503273484457539,-0.2716228379310872,-0.27991544965156967,0.04309282234712092,0.03164879780913534,-0.0008730215268216041,-0.07032031090287355,0.03778748947089696,-0.19201496882142305,0.02566793053403596,-0.11371681142096425,0.08269376441302623,-0.18191542653056275,-0.18219382251789887,-0.0789407684946054,-0.3030354626864271,0.008748460372204924,-0.31707832901099675,-0.06960774349884807,-0.21301342460192213,0.04851242827955689,-0.18075872063246998,-0.06206722458049816,0.051312112890514,0.03898366484916167,0.0074769775777965165,5.192098704391773e-05,-0.03893662928638431
