subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
SHIVWITS PLATEAU,2,3.552991023136652,0.865174310489401,2.7817733743425554,4.028769187806162,14
KANAB PLATEAU,2,3.680983392679343,0.8661414342632924,2.9112280904940624,4.179223521615391,14
LITTLE COLORADO RIVER PLATEAU,2,3.753684645139711,0.8341761665294812,3.034237926624209,4.284372948427725,14
PARIA,2,3.8504857905180168,0.8460701598042938,3.1079280144638073,4.4335476047205615,14
GRAND WASH,2,3.433902138617359,0.861313502751914,2.6830763108540077,3.878272130867783,14
COCONINO PLATEAU,2,3.687663298003232,0.8581610109948834,2.9383548603659726,4.227139460181013,14
HUALAPAI VALLEY INA,2,3.333782010969687,0.8450059621201651,2.54693596917993,3.8288507071449382,14
MEADVIEW,2,3.3860699916901846,0.8591488688458989,2.5892789306770405,3.8635047348037848,14
DETRITAL VALLEY,2,3.3624286436022808,0.8127097940102733,2.577084633744698,3.8240569658271264,14
LAKE MOHAVE,2,3.3064637325876305,0.7887332557531782,2.529359732838051,3.753613482572478,14
PEACH SPRINGS,2,3.4818801269831954,0.8634580563432893,2.706961729074133,4.010699923315858,14
VERDE RIVER,2,3.4576453630597377,0.8817635364104773,2.6235309735165333,3.9204731378421664,14
BIG SANDY,2,3.427305762296811,0.8871289247048888,2.597090316021126,3.9398506956681314,14
SACRAMENTO VALLEY,2,3.264502450138058,0.8623470593628046,2.418825185491201,3.7945136767898098,14
JOSEPH CITY INA,2,3.60241015355425,0.7856310049231677,2.892850435046195,4.165190112696502,14
BILL WILLIAMS,2,3.3017611651291228,0.8955278385935924,2.4486625056192737,3.8309394851729235,14
PRESCOTT AMA,2,3.4359264192800256,0.8827489388561345,2.59034443121375,3.9479213497365446,14
LAKE HAVASU,2,3.2529799355547766,0.7872796097681525,2.4568110014442963,3.6790128630269874,14
AGUA FRIA,2,3.3549683484481436,0.9238603470663876,2.4739385208199534,3.9274287012961056,14
UPPER HASSAYAMPA,2,3.29582452555261,0.9327564731851581,2.3932098260293966,3.900662743386526,14
TONTO CREEK,2,3.335088547570641,0.8834196711761751,2.505780710106076,3.813763159700224,14
SALT RIVER,2,3.423965671386674,0.8981108748511127,2.5691702523112747,3.8881541134325035,14
PARKER,2,3.214060985070124,0.7791029966641162,2.402450157809308,3.689853528699992,14
BUTLER VALLEY,2,3.237569820568202,0.8718784376373511,2.3801218281957475,3.712603126741131,14
MCMULLEN VALLEY,2,3.2224621252275365,0.8680951648043214,2.3929747625495694,3.696822803113752,14
PHOENIX AMA,2,3.223864977263585,0.8766601464515759,2.330513099973642,3.7011258505264086,14
RANEGRAS PLAIN,2,3.234148229098923,0.8274718967565532,2.396504023902546,3.6692933206692895,14
MORENCI,2,3.5344350687333552,0.9351211408598026,2.6269779987164523,4.090791919304818,14
HARQUAHALA INA,2,3.1948605696569996,0.8438649822833232,2.3508791717572666,3.6207893238944973,14
SAFFORD,2,3.4531021570348437,0.9400798747986671,2.56397989686063,4.0448592594244674,14
